,article_title,country,lastrevid,article_quality,population,Region
92,Hanifa Safi,Afghanistan,994195074.0,Stub,41.1,SOUTH ASIA
93,Amrullah Saleh,Afghanistan,1115022704.0,FA,41.1,SOUTH ASIA
94,Mohammed Zia Salehi,Afghanistan,889806024.0,Stub,41.1,SOUTH ASIA
95,Abdul Majid Samim,Afghanistan,1098092701.0,Stub,41.1,SOUTH ASIA
96,Saber Sangar,Afghanistan,1019860497.0,Stub,41.1,SOUTH ASIA
97,Muhammad Arif Sarwari,Afghanistan,1079170926.0,Start,41.1,SOUTH ASIA
98,Sayed Nasim Mihanparast,Afghanistan,1115496635.0,Stub,41.1,SOUTH ASIA
99,Sayyid Husayn,Afghanistan,1095559301.0,Stub,41.1,SOUTH ASIA
100,Suhail Shaheen,Afghanistan,1102910228.0,Start,41.1,SOUTH ASIA
101,Mohammad Shakir Kargar,Afghanistan,1096574840.0,C,41.1,SOUTH ASIA
102,Baktash Siawash,Afghanistan,1111917754.0,Stub,41.1,SOUTH ASIA
103,Awtar Singh,Afghanistan,1115100619.0,Stub,41.1,SOUTH ASIA
104,Hasan Ali Sultani,Afghanistan,1060706902.0,Stub,41.1,SOUTH ASIA
105,Faramarz Tamanna,Afghanistan,1106885861.0,C,41.1,SOUTH ASIA
106,Mohammad Hashem Taufiqui,Afghanistan,1021308429.0,Start,41.1,SOUTH ASIA
107,Nur ul-Haq Ulumi,Afghanistan,1107429109.0,GA,41.1,SOUTH ASIA
108,Pacha Gul Wafadar,Afghanistan,1020846299.0,Stub,41.1,SOUTH ASIA
109,Wahidullah Waissi,Afghanistan,1111508295.0,C,41.1,SOUTH ASIA
110,Gul Ahmmad Yama,Afghanistan,1060707715.0,Start,41.1,SOUTH ASIA
111,Al-Haj Suliman Yari,Afghanistan,1092426408.0,Stub,41.1,SOUTH ASIA
112,Abdul Salam Zaeef,Afghanistan,1106388504.0,GA,41.1,SOUTH ASIA
113,Abdul Zahir (Konar Education Minister),Afghanistan,1097261199.0,Stub,41.1,SOUTH ASIA
114,Mohammed Zaman,Afghanistan,1108389318.0,Start,41.1,SOUTH ASIA
115,Ziauddin (Afghan militia leader),Afghanistan,1095799892.0,Start,41.1,SOUTH ASIA
116,Qari Ziauddin,Afghanistan,1033608758.0,Start,41.1,SOUTH ASIA
117,Abdul Ghafor Zori,Afghanistan,994023417.0,Stub,41.1,SOUTH ASIA
118,Ali Pasha of Gusinje,Albania,1114426634.0,GA,2.8,SOUTHERN EUROPE
119,Ylli Asllani,Albania,949182924.0,Start,2.8,SOUTHERN EUROPE
120,Azis Tahir Ajdonati,Albania,994501003.0,Stub,2.8,SOUTHERN EUROPE
121,Bislim Bajgora,Albania,1091800566.0,Start,2.8,SOUTHERN EUROPE
122,Kastriot Berissa,Albania,1094050369.0,Start,2.8,SOUTHERN EUROPE
123,Bardhok Biba,Albania,1110580984.0,C,2.8,SOUTHERN EUROPE
124,Dervish Biçaku,Albania,1106794267.0,Stub,2.8,SOUTHERN EUROPE
125,Kostandin Boshnjaku,Albania,1107876476.0,C,2.8,SOUTHERN EUROPE
126,Spartak Braho,Albania,1098235893.0,Start,2.8,SOUTHERN EUROPE
127,Safet Butka,Albania,1067080697.0,C,2.8,SOUTHERN EUROPE
128,Uran Butka,Albania,1087272778.0,Start,2.8,SOUTHERN EUROPE
129,Refo Çapari,Albania,1061419179.0,Start,2.8,SOUTHERN EUROPE
130,Neritan Ceka,Albania,1095178618.0,Start,2.8,SOUTHERN EUROPE
131,Hysni Curri,Albania,1114418989.0,Start,2.8,SOUTHERN EUROPE
132,Ibrahim Dalliu,Albania,1087026828.0,Start,2.8,SOUTHERN EUROPE
133,Niazi Demi,Albania,1104589367.0,Stub,2.8,SOUTHERN EUROPE
134,Abdurrahman Dibra,Albania,1101365003.0,Start,2.8,SOUTHERN EUROPE
135,Fuad Dibra,Albania,1079550815.0,Start,2.8,SOUTHERN EUROPE
136,Isuf Dibra,Albania,1108975040.0,Start,2.8,SOUTHERN EUROPE
137,Bujar Dida,Albania,1112281152.0,C,2.8,SOUTHERN EUROPE
138,Ahmed Dino,Albania,1114424802.0,Stub,2.8,SOUTHERN EUROPE
139,Rasih Dino,Albania,1067061654.0,Stub,2.8,SOUTHERN EUROPE
