,lastrevid,prediction
439,1087172023,Start
440,1112603390,Start
441,1065573627,Stub
442,1106829544,Stub
443,1111898436,Start
444,1088269446,Stub
445,1112603867,C
446,1114850674,Start
447,1048166289,Start
448,1068422030,Start
449,1070877897,C
450,1033894166,Stub
451,1010887552,Stub
452,1058620648,Start
453,1084061853,Stub
454,1112474529,Stub
455,977059921,Stub
456,1099978355,Stub
457,1104118829,C
458,1105484317,Start
459,1112474313,Stub
460,1090940019,Start
461,1109478769,Stub
462,1033512296,Start
463,1019694668,Stub
464,1061803495,C
465,1106125275,Start
466,1113533881,B
467,1017745075,Start
468,1092446707,Stub
469,1112474168,C
470,994058910,Stub
471,1083947896,Start
472,1112603574,Start
473,1007521446,Start
474,1089049732,Stub
475,1114549144,C
476,1102889087,C
477,1078907075,Start
478,1049705609,Stub
479,1112576338,C
480,1077100690,Start
481,1096753974,C
482,1093955134,Start
483,1016446506,Start
484,1112474387,Stub
485,1045934334,Stub
486,1038160173,Stub
487,1056085498,Stub
488,1111962495,Start
489,1112603523,Start
490,1107065506,Stub
491,1102138152,Start
492,1075526613,Start
493,1106843986,C
494,1018398706,C
495,1109309028,Stub
496,1112064160,GA
497,1109649588,Start
498,1112134949,Start
499,1106344373,C
500,1112800095,Start
501,1080007779,Start
502,1090036474,Start
503,1100266382,Stub
504,1110146340,Start
505,1109686454,Start
506,1094730548,C
507,1096310851,Stub
508,1067081975,Stub
509,1025325196,Stub
510,1101536288,Start
511,1114198988,C
512,1109686109,Start
513,1091283791,C
514,1104973679,C
515,1096145690,Stub
516,1110113628,C
517,1090157253,Start
518,1080007304,Start
519,1067793317,Stub
520,1029087103,Stub
521,1092547948,Start
522,1096490381,C
523,1045812028,Start
524,1108873335,C
525,1109685880,Start
526,1072772142,Start
527,1094981152,Start
528,1093750341,Stub
529,1011331249,Start
530,1084134498,Start
531,1115614823,Start
532,1084157904,C
533,1081854289,Start
534,1087483504,Start
535,1114475460,Start
536,1074822020,C
537,1096039626,C
538,1106104383,Stub
539,1025325260,Stub
540,1105103095,Start
541,1080672703,C
542,1096574448,Start
543,1114287934,C
544,1074732244,Start
545,1019924574,Start
546,1083155826,Start
547,1109457989,C
548,1084382477,C
549,1021088682,Stub
550,1011511102,Stub
551,1063482737,Stub
552,1010461395,Stub
553,1006173162,Stub
554,1063486161,Stub
555,1109935820,Start
556,1067620253,Start
557,1096789330,Stub
558,1089564533,Start
559,1088485834,Start
560,1099067663,Start
561,1068897458,Stub
562,1096789114,Stub
563,1098344827,Stub
564,1003695133,Start
565,1033132904,Stub
566,1068744646,Stub
567,1098699647,Stub
568,1006167519,Stub
569,1099004905,Start
570,1107463771,Start
571,1085733309,Start
572,1022106863,Stub
573,1096789043,Stub
574,1072499529,Stub
575,1096789192,Stub
576,1106388662,Stub
577,1063213013,Start
578,1087144216,C
579,1096789150,Start
580,1066056398,Start
581,1086832849,Start
582,1100527312,C
583,1108146191,Start
584,1109869774,C
585,1076894174,Start
586,1066581020,Stub
587,1109740890,Start
588,1082571647,Start
589,1099697606,Start
590,1111168357,C
591,1081670946,Start
