,title,lastrevid
336,Julián de Leyva,959654287.0
337,Mónica López (politician),797826672.0
338,Lucio Victorio Mansilla,1086339086.0
339,Nicolás Massot,1069153148.0
340,Juan Mignaburu,994878410.0
341,Guillermo Montenegro,1096175549.0
342,Mariano Moreno,1113829451.0
343,Marcelo Muniagurria,1108926646.0
344,Fernando Nadra,1105357958.0
345,Rómulo Sebastián Naón,1096261399.0
346,Santiago G. O'Farrell,1096261487.0
347,Miguel Ángel Pesce,1096459313.0
348,Carlos Petroni,1100374393.0
349,Alejo Peyret,1091481103.0
350,Aldo Pignanelli,1106856167.0
351,Enrique S. Quintana,1016343362.0
352,Amán Rawson,1096678788.0
353,Martín Sabbatella,1073202733.0
354,Juan Pablo Schiavi,1069152180.0
355,Héctor Tizón,1096176230.0
356,Claudio Uberti,1032047313.0
357,Arístides Villanueva,994807413.0
358,Artashes Abeghyan,1088583026.0
359,Aram Achekbashian,1046857776.0
360,Hovsep Arghutian,1095822812.0
361,Mikael Atabekyan,1008108682.0
362,Tigran Bekzadyan,1027604306.0
363,Vigen Chitechyan,1099308421.0
364,Hayk Chobanyan,1093711595.0
365,Daniel-Bek of Sassun,1114419837.0
366,Gurgen Egiazaryan,1103745376.0
367,Parunak Ferukhan,1114420012.0
368,Hambardzum Galstyan,1084735335.0
369,Gegham Gharibjanian,1048485720.0
370,Gevorg Ghazaryan (politician),1082547991.0
371,Andrias Ghukasyan,1108345283.0
372,Aram Grigoryan,1112117000.0
373,Armen Grigoryan (politician),1069944070.0
374,Hayk Grigoryan,1090623549.0
375,Grigor Jaghetyan,1062820993.0
376,Tigran Karapetyan,1112833785.0
377,Khachatur-Bek of Mush,1114420639.0
378,Aram Kocharyan,1107982644.0
379,Davit Lokyan,1089241404.0
380,Hrant Maloyan,1114902744.0
381,Khachatur Malumian,1114420669.0
382,Aram Manukyan,1048512708.0
383,Gevorg Melik-Karagyozyan,980519720.0
384,Vahan Minakhoryan,1055697655.0
385,Ruben Mirzakhanyan,1084737845.0
386,Badal Muradyan,1090630537.0
387,Gabriel Noradunkyan,1114426086.0
388,Suren Papikyan,1112772824.0
389,Paul Paul,1114420707.0
390,Garo Paylan,1104655518.0
391,Genrikh Poghosyan,1085393392.0
392,Ishkhan Saghatelyan,1107169295.0
393,Martiros Sarukhanyan,933482772.0
394,Vartkes Serengülian,1114426992.0
395,Serop Zakaryan,1057547947.0
396,Servitchen,1114420738.0
397,Suren Shadunts,1109564586.0
398,Kasbar Sinabian,1114426546.0
399,Ohannes Tchekidjian,1090861179.0
400,Hrayr Tovmasyan,993785842.0
401,Usuv Beg,1086955149.0
402,Kegham Vanigian,1114420793.0
403,Artak Zeynalyan,1097086972.0
404,Alfons Adam,1103541474.0
405,Ingo Appelt,997950968.0
406,Baron Alexander von Bach,1114355363.0
407,"Maximilian Anton Karl, Count Baillet de Latour",1112473939.0
408,Heinrich Alfred Barb,1092809567.0
409,Raphael Basch,1023595642.0
410,Leopold Berchtold,1089443270.0
411,Hanns Blaschke,1115530871.0
412,Andreas Bolek,1005030653.0
413,Joseph Buttinger,1080982386.0
414,Prince Carl of Solms-Braunfels,1107215721.0
415,Count Wenzel Chotek of Chotkow and Wognin,1083654825.0
416,Citizens' Ministry,1071736555.0
417,Richard von Coudenhove-Kalergi,1108787206.0
418,Karl von Czyhlarz,1021127705.0
419,George Abraham von Dyhrn,1007538469.0
420,Hans Ferlitsch,941916920.0
421,Friedhelm Frischenschlager,1018809630.0
422,Anton Füster,1078570802.0
423,Julius Anton Glaser,1112473750.0
424,Walter Guggenberger,1112473762.0
425,Ulrich Habsburg-Lothringen,1112474612.0
426,Ernst Hampel (politician),1069436586.0
427,Franz von Hartig,1007537619.0
428,Hans Peter Haselsteiner,1112603346.0
429,Friedrich Wilhelm von Haugwitz,1112275892.0
430,Eduard Hedvicek,1115494542.0
431,Eduard Herbst,1007530580.0
432,Hermann Stern,1101206070.0
433,Jürgen Himmelbauer,969146003.0
434,Anton Hofer,1105446235.0
435,Andreas Hörtnagl,969145984.0
436,Franz Jetzinger,1086163096.0
437,Konstantin Jireček,1100601439.0
438,Hugo Jury,1115504900.0
439,Maximilian Ulrich von Kaunitz,1087172023.0
440,Joseph Kenner,1112603390.0
441,Theodor Kery,1065573627.0
442,Michael Killisch-Horn,1106829544.0
443,Hubert Klausner,1111898436.0
444,Martin Kocher,1088269446.0
445,Józef Kożdoń,1112603867.0
446,Jožef Krajnc,1114850674.0
447,Hans Kudlich,1048166289.0
448,Gottfried von Kühnelt-Leddihn,1068422030.0
449,Hartmann Lauterbacher,1070877897.0
450,Otto Lecher,1033894166.0
451,Franz Leitner (politician),1010887552.0
452,Elmar Lichtenegger,1058620648.0
453,Julius Lippert (historian),1084061853.0
454,Karl Lütgendorf,1112474529.0
455,Jürgen Mandl,977059921.0
456,Renate Mann,1099978355.0
457,Ferdinand Mannlicher,1104118829.0
458,Christoph Matznetter,1105484317.0
459,Johann Gregor Memhardt,1112474313.0
460,Franz Moroder,1090940019.0
461,Heinz Nittel,1109478769.0
462,Brigitta Pallauf,1033512296.0
463,Wladimir von Pawlowski,1019694668.0
464,Johann Anton von Pergen,1061803495.0
465,Gerhard Pfanzelter,1106125275.0
466,Walter Pfrimer,1113533881.0
467,Ernst von Plener,1017745075.0
468,Leopold Poetsch,1092446707.0
469,Thomas Prinzhorn,1112474168.0
470,Hermann von Ramberg,994058910.0
